benchmark,app,db_id,timing,n,gram_count
cath_d99,CATHEDRAL,3sovA02,344.9380000000000000,1,43
cath_d99,CATHEDRAL,3a02A00,81.4080000000000000,2,47
cath_d99,CATHEDRAL,2o9sA00,80.8250000000000000,3,63
cath_d99,CATHEDRAL,2ylbC00,97.9260000000000000,4,64
cath_d99,CATHEDRAL,3h7iA02,246.1360000000000000,5,73
cath_d99,CATHEDRAL,1xmkA00,396.2120000000000000,6,75
cath_d99,CATHEDRAL,3goeA00,213.1180000000000000,7,76
cath_d99,CATHEDRAL,1l3kA01,130.3020000000000000,8,80
cath_d99,CATHEDRAL,4d3tA03,212.8220000000000000,9,83
cath_d99,CATHEDRAL,1rl6A02,147.8030000000000000,10,85
cath_d99,CATHEDRAL,3uljB00,245.9470000000000000,11,86
cath_d99,CATHEDRAL,1n5uA03,246.2870000000000000,12,88
cath_d99,CATHEDRAL,4cayB00,163.1500000000000000,13,88
cath_d99,CATHEDRAL,5lvoA01,197.4090000000000000,14,89
cath_d99,CATHEDRAL,4z8jA00,64.5440000000000000,15,92
cath_d99,CATHEDRAL,2osxA01,264.5320000000000000,16,93
cath_d99,CATHEDRAL,4d3tA02,179.7670000000000000,17,95
cath_d99,CATHEDRAL,1psrA00,163.6740000000000000,18,96
cath_d99,CATHEDRAL,4g1qA04,212.8340000000000000,19,103
cath_d99,CATHEDRAL,4unuA00,262.9460000000000000,20,105
cath_d99,CATHEDRAL,5avdA02,214.0450000000000000,21,106
cath_d99,CATHEDRAL,5ibnA00,541.5670000000000000,22,107
cath_d99,CATHEDRAL,1nz0D00,64.6720000000000000,23,107
cath_d99,CATHEDRAL,4mf5A02,1136.4030000000000000,24,112
cath_d99,CATHEDRAL,3w5hA01,609.6540000000000000,25,113
cath_d99,CATHEDRAL,1unqA00,115.0660000000000000,26,114
cath_d99,CATHEDRAL,4yapA01,377.9750000000000000,27,120
cath_d99,CATHEDRAL,1r0mA01,131.6920000000000000,28,122
cath_d99,CATHEDRAL,3ziyA03,360.9950000000000000,29,124
cath_d99,CATHEDRAL,2vb1A00,215.1840000000000000,30,125
cath_d99,CATHEDRAL,3hj4A02,212.9410000000000000,31,127
cath_d99,CATHEDRAL,3wh2A00,1008.0700000000000000,32,128
cath_d99,CATHEDRAL,1nkiA00,180.7240000000000000,33,130
cath_d99,CATHEDRAL,2w8tA01,214.7760000000000000,34,135
cath_d99,CATHEDRAL,3u7qA02,592.1650000000000000,35,139
cath_d99,CATHEDRAL,4mtuA00,379.2850000000000000,36,139
cath_d99,CATHEDRAL,2nrlA00,264.1460000000000000,37,141
cath_d99,CATHEDRAL,1nwwA00,593.5710000000000000,38,141
cath_d99,CATHEDRAL,2fvyA01,681.1840000000000000,39,141
cath_d99,CATHEDRAL,5k8sB00,313.0620000000000000,40,144
cath_d99,CATHEDRAL,3nbcA00,263.4060000000000000,41,144
cath_d99,CATHEDRAL,4f1vA02,857.3870000000000000,42,145
cath_d99,CATHEDRAL,4fvyA01,477.8850000000000000,43,145
cath_d99,CATHEDRAL,1bxoA02,1407.4100000000000000,44,148
cath_d99,CATHEDRAL,3kffA00,230.2350000000000000,45,148
cath_d99,CATHEDRAL,4cbuA01,659.3050000000000000,46,148
cath_d99,CATHEDRAL,2bw4A01,954.8210000000000000,47,148
cath_d99,CATHEDRAL,4oh7A02,1284.7030000000000000,48,151
cath_d99,CATHEDRAL,4cvrA00,791.2390000000000000,49,152
cath_d99,CATHEDRAL,2rbkA01,1126.9070000000000000,50,154
cath_d99,CATHEDRAL,4l8aA00,1432.8150000000000000,51,155
cath_d99,CATHEDRAL,5cgqB01,1120.4870000000000000,52,158
cath_d99,CATHEDRAL,5kvsA02,345.3490000000000000,53,158
cath_d99,CATHEDRAL,1swyA00,512.1820000000000000,54,160
cath_d99,CATHEDRAL,4ep4A00,741.4540000000000000,55,162
cath_d99,CATHEDRAL,4bj0A00,492.9960000000000000,56,163
cath_d99,CATHEDRAL,3e2oA01,197.3930000000000000,57,164
