n,app,alg,avg_cume_score
1,mTM,TM_Q,0.71643871144648518235
2,mTM,TM_Q,0.71491359197038314118
3,mTM,TM_Q,0.71347381446585835686
4,mTM,TM_Q,0.71150417811629020000
5,mTM,TM_Q,0.70897369580544945765
6,mTM,TM_Q,0.70703873827068360392
7,mTM,TM_Q,0.70546017622464181008
8,mTM,TM_Q,0.70418543615861714044
9,mTM,TM_Q,0.70308015324909968039
10,mTM,TM_Q,0.70208338126888118206
11,mTM,TM_Q,0.70096834315845342246
12,mTM,TM_Q,0.69996731866368812647
13,mTM,TM_Q,0.69903409497194118122
14,mTM,TM_Q,0.69817662569756769559
15,mTM,TM_Q,0.69740252190602828784
16,mTM,TM_Q,0.69668829846028405313
17,mTM,TM_Q,0.69602461853393947440
18,mTM,TM_Q,0.69539707619274156601
19,mTM,TM_Q,0.69480710761933542895
20,mTM,TM_Q,0.69425137954684228853
21,mTM,TM_Q,0.69373186941727525826
22,mTM,TM_Q,0.69323906767404344358
23,mTM,TM_Q,0.69277694468799694386
24,mTM,TM_Q,0.69227534153528432819
25,mTM,TM_Q,0.69178953182718398435
26,mTM,TM_Q,0.69132196035928931414
27,mTM,TM_Q,0.69086717279650493878
28,mTM,TM_Q,0.69043470964352547742
29,mTM,TM_Q,0.69001624268539613256
30,mTM,TM_Q,0.68961690034767934029
31,mTM,TM_Q,0.68923426349860248027
32,mTM,TM_Q,0.68886444834034518980
33,mTM,TM_Q,0.68850787204911623209
34,mTM,TM_Q,0.68816598694820042007
35,mTM,TM_Q,0.68783488988576182437
36,mTM,TM_Q,0.68751250765746886364
37,mTM,TM_Q,0.68719581951292769181
38,mTM,TM_Q,0.68688519398122859644
39,mTM,TM_Q,0.68657503671346215558
40,mTM,TM_Q,0.68627187338605949125
41,mTM,TM_Q,0.68597367327900936686
42,mTM,TM_Q,0.68567682488686435168
43,mTM,TM_Q,0.68538655575035864897
44,mTM,TM_Q,0.68510228221604993396
45,mTM,TM_Q,0.68481036625780120425
46,mTM,TM_Q,0.68452417422990265966
47,mTM,TM_Q,0.68422843502563512816
48,mTM,TM_Q,0.68393600669330880882
49,mTM,TM_Q,0.68364451908313471969
50,mTM,TM_Q,0.68332439352341354588
51,mTM,TM_Q,0.68294301368663773737
52,mTM,TM_Q,0.68256922835617573190
53,mTM,TM_Q,0.68220131515016234645
54,mTM,TM_Q,0.68184062152660098938
55,mTM,TM_Q,0.68148543375820451080
56,mTM,TM_Q,0.68113394419284816933
57,mTM,TM_Q,0.68078893547069513220
58,mTM,TM_Q,0.68045133536039206628
59,mTM,TM_Q,0.68012083187955128843
60,mTM,TM_Q,0.67979468079156379132
61,mTM,TM_Q,0.67947347990666230313
62,mTM,TM_Q,0.67915794653567253909
63,mTM,TM_Q,0.67884811334912041429
64,mTM,TM_Q,0.67854268834790703543
65,mTM,TM_Q,0.67823841804254639860
66,mTM,TM_Q,0.67793677695552020824
67,mTM,TM_Q,0.67762848159777297845
68,mTM,TM_Q,0.67732389072496494083
69,mTM,TM_Q,0.67702301608731098704
70,mTM,TM_Q,0.67672555274627523101
71,mTM,TM_Q,0.67643345877453693480
72,mTM,TM_Q,0.67614468372880340123
73,mTM,TM_Q,0.67586116081115349170
74,mTM,TM_Q,0.67558052570188381566
75,mTM,TM_Q,0.67530403360226081024
76,mTM,TM_Q,0.67502979291163277612
